scale_id,class,midpoint
grainau_13,1,0.5
grainau_13,2,1
grainau_13,3,3.5
grainau_13,4,8
grainau_13,5,15.5
grainau_13,6,25.5
grainau_13,7,35.5
grainau_13,8,45.5
grainau_13,9,55.5
grainau_13,10,65.5
grainau_13,11,75.5
grainau_13,12,85.5
grainau_13,13,95.5
damxung_10,1,0.5
damxung_10,2,1
damxung_10,3,3.5
damxung_10,4,8
damxung_10,5,15.5
damxung_10,6,25.5
damxung_10,7,35.5
damxung_10,8,45.5
damxung_10,9,55.5
damxung_10,10,80
kashmir_11,1,0.5
kashmir_11,2,1
kashmir_11,3,3.5
kashmir_11,4,8
kashmir_11,5,15.5
kashmir_11,6,25.5
kashmir_11,7,35.5
kashmir_11,8,45.5
kashmir_11,9,55.5
kashmir_11,10,70
kashmir_11,11,90
