"site_id","SpeciesName"
"CH_Calanda","Cetraria islandica"
"CH_Calanda2","Moss Group"
"CH_Calanda2","Lychen Group"
"CH_Calanda2","Mushroom Group"
"CH_Calanda2","Cetraria islandica"
"CH_Lavey","Other"
"CH_Lavey","Dead"
"CH_Lavey","Bare ground"
"CH_Lavey","bare ground"
"CH_Lavey","Bryophyta"
"CH_Lavey","Stone"
"CH_Lavey","Fungi"
"CH_Lavey","Vegetation %"
"CH_Lavey","Bare ground %"
"CH_Lavey","Litter %"
"CH_Lavey","Rocks %"
"CN_Damxung","Other"
"CN_Gongga","Other"
"CN_Heibei","Other"
"DE_Grainau","Other"
"DE_Susalps","Moss"
"DE_Susalps","Dead biomass"
"DE_TransAlps","Moss"
"DE_TransAlps","Dead biomass"
"FR_AlpeHuez","Bare ground"
"SE_Abisko","Other"
"SE_Abisko","Sph spe"
"US_Colorado","Other"
"US_Colorado","Bare Soil"
"US_Colorado","Bare soil"
"US_Colorado","bare soil"
"US_Colorado","Litter"
"US_Colorado","LItter"
"US_Colorado","litter"
"US_Colorado","rock"
"US_Colorado","Rock"
"US_Colorado","moss"
"US_Montana","Other"
"US_Montana","Bareground"
"US_Montana","Litter"
"US_Montana","Moss"
"US_Montana","Rock"
