"site_id","destSiteID","Elevation","Longitude","Latitude"
"CH_Calanda","Pea","2800","9.47031","46.89326"
"CH_Calanda","Cal","2000","9.48939","46.88778"
"CH_Calanda","Nes","1400","9.49013","46.86923"
"CH_Calanda2","Cal","2000","9.48939","46.88778"
"CH_Calanda2","Nes","1400","9.49013","46.86923"
"CH_Lavey","PRA","1400","7.0396599","46.216459"
"CH_Lavey","MAR","1750","7.05102","46.21567"
"CH_Lavey","CRE","1950","7.0546499","46.2181"
"CH_Lavey","RIO","2200","7.06053","46.20429"
"CN_Damxung","HIGH","4800","91.05491","30.53141"
"CN_Damxung","LOW","4313","91.0646299","30.4971"
"CN_Gongga","L","3000","102.0343","29.84347"
"CN_Gongga","M","3500","102.036","29.86192"
"CN_Gongga","A","3850","102.0173","29.88911"
"CN_Gongga","H","4100","102.0118","29.90742"
"CN_Heibei","3200","3200","101.313306","37.61175"
"CN_Heibei","3400","3400","101.331306","37.665306"
"CN_Heibei","3800","3800","101.36922199","37.704917"
"DE_Grainau","HIGH","1714","11.0617667","47.4414333"
"DE_Grainau","LOW","773","11.011217","47.4761499"
"DE_Susalps","BT","350","11.581944","49.921111"
"DE_Susalps","FE","600","11.06626","47.82932"
"DE_Susalps","GW","860","11.03101","47.56975"
"DE_Susalps","EB","1260","11.15773","47.51634"
"DE_TransAlps","BT","300","11.581944","49.921111"
"DE_TransAlps","SP","1850","11.305278","47.128889"
"DE_TransAlps","FP","2440","8.421389","46.576667"
"FR_AlpeHuez","HIGH","2072","6.05545","45.099983"
"FR_AlpeHuez","LOW","1481","6.035933","45.0882"
"FR_Lautaret","G","2450","6.40048","45.05436"
"FR_Lautaret","L","1950","6.4190699","45.04006"
"IN_Kashmir","HIGH","2684","74.39961099","34.050736"
"IN_Kashmir","LOW","1951","74.832931","34.13218899"
"IT_MatschMazia1","Low","1000","10.5902491243","46.6612188656"
"IT_MatschMazia1","High","1500","10.5797899","46.6862599"
"IT_MatschMazia2","Low","1500","10.5797899","46.6862599"
"IT_MatschMazia2","High","1950","10.59195399","46.691684"
"NO_Gudmedalen","Gudmedalen","1213","7.17561","60.8328"
"NO_Gudmedalen","Rambera","769","6.63028","61.0866"
"NO_Gudmedalen","Arhelleren","431","6.33738","60.6652"
"NO_Lavisdalen","Lavisdalen","1097","7.27596","60.8231"
"NO_Lavisdalen","Hogsete","700","7.17666","60.876"
"NO_Lavisdalen","Vikesland","474","7.16982","60.8803"
"NO_Skjellingahaugen","Skjellingahaugen","1088","6.41504","60.9335"
"NO_Skjellingahaugen","Veskre","797","6.51468","60.5445"
"NO_Skjellingahaugen","Ovstedal","346","5.96487","60.6901"
"NO_Ulvhaugen","Ulvhaugen","1208","8.12343","61.0243"
"NO_Ulvhaugen","Alrust","815","8.70466","60.8203"
"NO_Ulvhaugen","Fauske","589","9.07876","61.0355"
"SE_Abisko","High","1000","19.0921899","68.29267099"
"SE_Abisko","Mid","690","19.17353299","68.294066999"
"SE_Abisko","Low","500","19.190148","68.300843"
"US_Colorado","um","2900","-107.01018","38.9324799"
"US_Colorado","pf","3200","-107.0326199","38.9324799"
"US_Colorado","mo","3300","-107.04908","38.97274"
"US_Montana","Low","1985","-111.496672","45.30899"
"US_Montana","High","2185","-111.49859499","45.30523699"
