site_id,from,to
CN_Gongga,Potentilla stenophylla var. emergens,Potentilla stenophylla
US_Montana,bareground,Bareground
US_Montana,Bare,Bareground
US_Montana,litter,Litter
US_Montana,moss,Moss
US_Montana,rock,Rock
IN_Kashmir,Fragaria spp,Fragaria sp.
IN_Kashmir,Ranunculus spp,Ranunculus sp.
IN_Kashmir,Pinus spp,Pinus sp.
IN_Kashmir,CYANODON dACTYLON,Cyanodon dactylon
IN_Kashmir,Hordeum spp,Hordeum sp.
IN_Kashmir,Rubus spp,Rubus sp.
IN_Kashmir,Cyanodondactylon,Cyanodon dactylon
FR_Lautaret,Carex sempervirens subsp. sempervirens,Carex sempervirens
FR_Lautaret,Pilosella officinarum,Pilosella
FR_Lautaret,Patzkea paniculata subsp. paniculata,Patzkea paniculata
FR_Lautaret,Undetermined sp.,Undetermined
