from,to
Stellaria_wide_leaf,Stellaria umbellata
Entire Meconopsis,Meconopsis
Leuc. Vulg.,Leucanthemum vulgare
unknown aster serrated,Aster
Unknown aster serrated,Aster
Haemarocalus fulva,Hemerocallis fulva
Dracophaleum,Dracocephalum
Antoxanthum alpinum,Anthoxanthum odoratum nipponicum
Anthoxanthum alpinum,Anthoxanthum odoratum nipponicum
Vaccinium gaultherioides,Vaccinium uliginosum
Listera ovata,Neottia ovata
Gentiana tenella,Gentianella tenella
Nigritella nigra,Gymnadenia nigra
Hieracium lactucela,Pilosella lactucella
Agrostis schraderiana,Agrostis agrostiflora
Festuca pratense,Festuca pratensis
Ran. acris subsp. Friesianus,Ranunculus acris subsp. friesianus
Symphyothricum_sp.,Symphyotrichum
Orchidacea spec,Orchidaceae
Carex biggelowii,Carex bigelowii
Carex spec,Carex
Hol.lan,Holcus lanatus
Dia.med,Dianthus deltoides
