"site_id","key","Treatment"
"CH_Lavey","CRE_CRE","LocalControl"
"CH_Lavey","RIO_RIO","LocalControl"
"CH_Lavey","MAR_MAR","LocalControl"
"CH_Lavey","PRA_PRA","LocalControl"
"CH_Lavey","CRE_RIO","Warm"
"CH_Lavey","MAR_RIO","Warm"
"CH_Lavey","PRA_RIO","Warm"
"CN_Gongga","C","Control"
"CN_Gongga","O","LocalControl"
"CN_Gongga","1","Warm"
"CN_Gongga","2","Cold"
"CN_Gongga","3","Warm"
"CN_Gongga","4","Cold"
"SE_Abisko","High_High","LocalControl"
"SE_Abisko","Mid_Mid","LocalControl"
"SE_Abisko","Low_Low","LocalControl"
"SE_Abisko","Low_High","Warm"
"SE_Abisko","Mid_High","Warm"
"SE_Abisko","Low_Mid","Warm"
"SE_Abisko","Mid_Low","Cold"
"SE_Abisko","High_Low","Cold"
"SE_Abisko","High_Mid","Cold"
"US_Colorado","c1","Cold"
"US_Colorado","c2","Cold"
"US_Colorado","w1","Warm"
"US_Colorado","w2","Warm"
"US_Colorado","nu","NettedControl"
"US_Colorado","u_","Control"
"US_Colorado","ws","LocalControl"
